id,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12
59470004,,Rupture partielle,,,,,,,,,,,,,,
59474001,,Rupture partielle,,,,,,,,,,,,,,
59510003,,Rupture partielle,,,,,,,,,,,,,,
59550002,,Rupture totale,,,,,,,,,,,,,,
59570003,,Rupture partielle,,,,,,,,,,,,,,
59610004,,Rupture partielle,,,,,,,,,,,,,,
59640002,,Rupture partielle,,,,,,,,,,,,,,
59650013,,Rupture partielle,,,,,,,,,,,,,,
59750005,,Rupture totale,,,,,,,,,,,,,,
59820001,,Rupture partielle,,,,,,,,,,,,,,
59930002,,Rupture partielle,,,,,,,,,,,,,,
60005001,,Rupture partielle,,,,,,,,,,,,,,
60190003,,Rupture partielle,,,,,,,,,,,,,,
60200011,,Rupture partielle,,,,,,,,,,,,,,
60200014,,Rupture totale,,,,,,,,,,,,,,
60400005,,Rupture partielle,,,,,,,,,,,,,,
60500011,,Rupture totale,,,,,,,,,,,,,,
60700004,,Rupture partielle,,,,,,,,,,,,,,
60870003,,Rupture partielle,,,,,,,,,,,,,,
61500002,,Rupture partielle,,,,,,,,,,,,,,
62000006,,Rupture partielle,,,,,,,,,,,,,,
62110004,,Rupture totale,,,,,,,,,,,,,,
62114002,,Rupture partielle,,,,,,,,,,,,,,
62136001,,Rupture partielle,,,,,,,,,,,,,,
62137001,,Rupture partielle,,,,,,,,,,,,,,
62140002,,Rupture totale,,,,,,,,,,,,,,
62152003,,Rupture partielle,,,,,,,,,,,,,,
62220001,,Rupture partielle,,,,,,,,,,,,,,
62250010,,Rupture partielle,,,,,,,,,,,,,,
62260003,,Rupture totale,,,,,,,,,,,,,,
62300012,,Rupture partielle,,,,,,,,,,,,,,
62400004,,Rupture totale,,,,,,,,,,,,,,
62690002,,Rupture totale,,,,,,,,,,,,,,
62700008,,Rupture partielle,,,,,,,,,,,,,,
62800004,,Rupture partielle,,,,,,,,,,,,,,
63000022,,Rupture partielle,,,,,,,,,,,,,,
63000026,,Rupture totale,,,,,,,,,,,,,,
