dep,datetime,tx_incidence,tx_positivite
57,2021-11-12,99.69015222955679,3.66
57,2021-11-13,101.4863711886479,3.6
57,2021-11-14,102.38448066819345,3.61
57,2021-11-15,122.14288921819569,3.15
57,2021-11-16,147.28995464547128,3.16
57,2021-11-17,162.55781579774575,3.33
57,2021-11-18,210.15761821366024,3.12
57,2021-11-19,229.01791728411695,3.03
57,2021-11-20,250.57254479321028,3.21
57,2021-11-21,253.26687323184697,3.24
57,2021-11-22,269.43284386366696,3.15
58,2021-09-01,45.897877223178426,8.99
58,2021-09-02,57.37234652897303,13.51
58,2021-09-03,51.63511187607573,12.68
58,2021-09-04,63.10958118187034,13.58
58,2021-09-05,51.63511187607573,11.11
58,2021-09-06,51.63511187607573,10.0
58,2021-09-07,45.897877223178426,9.3
58,2021-09-08,74.58405048766494,13.0
58,2021-09-09,63.10958118187034,8.66
58,2021-09-10,57.37234652897303,5.49
58,2021-09-11,45.897877223178426,3.94
58,2021-09-12,45.897877223178426,3.98
58,2021-09-13,45.897877223178426,3.62
58,2021-09-14,40.16064257028113,3.07
58,2021-09-15,17.21170395869191,1.23
58,2021-09-16,28.686173264486516,2.01
58,2021-09-17,17.21170395869191,1.39
58,2021-09-18,22.948938611589213,1.97
58,2021-09-19,22.948938611589213,1.91
58,2021-09-20,22.948938611589213,2.08
58,2021-09-21,22.948938611589213,2.07
58,2021-09-22,28.686173264486516,2.92
58,2021-09-23,22.948938611589213,2.4
58,2021-09-24,22.948938611589213,2.4
58,2021-09-25,17.21170395869191,1.78
58,2021-09-26,17.21170395869191,1.84
58,2021-09-27,17.21170395869191,1.9
58,2021-09-28,17.21170395869191,1.97
58,2021-09-29,5.737234652897303,0.7
58,2021-09-30,0.0,0.0
58,2021-10-01,0.0,0.0
58,2021-10-02,0.0,0.0
58,2021-10-03,0.0,0.0
58,2021-10-04,5.737234652897303,0.45
58,2021-10-05,5.737234652897303,0.46
58,2021-10-06,17.21170395869191,1.38
58,2021-10-07,17.21170395869191,1.13
58,2021-10-08,22.948938611589213,1.4
58,2021-10-09,22.948938611589213,1.37
58,2021-10-10,22.948938611589213,1.35
58,2021-10-11,28.686173264486516,2.53
58,2021-10-12,28.686173264486516,1.62
58,2021-10-13,22.948938611589213,1.27
58,2021-10-14,28.686173264486516,1.06
58,2021-10-15,22.948938611589213,0.85
58,2021-10-16,22.948938611589213,0.85
58,2021-10-17,22.948938611589213,0.86
58,2021-10-18,11.474469305794607,0.38
58,2021-10-19,11.474469305794607,0.39
58,2021-10-20,5.737234652897303,0.19
58,2021-10-21,0.0,0.0
58,2021-10-22,0.0,0.0
58,2021-10-23,0.0,0.0
58,2021-10-24,0.0,0.0
58,2021-10-25,0.0,0.0
58,2021-10-26,0.0,0.0
58,2021-10-27,0.0,0.0
58,2021-10-28,0.0,0.0
