antenne,nom complet,qualite,parti,CLR,color_num_rand,datetime
LCI,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.3581405512904254,2020-09-23
CNews,Bruno Bonnell,Député du Rhône,La République en marche !,CENTRE (majorité),4.054479116901135,2020-09-23
Public Sénat,Yves Daudigny,Sénateur de l'Aisne,Parti socialiste,GAUCHE,2.071642253605173,2020-09-23
Sud Radio,Aurélien Pradié,Député du Lot,Les Républicains,DROITE,8.667252804442258,2020-09-23
Public Sénat,Julien Aubert,Député du Vaucluse,Les Républicains,DROITE,8.329539824433292,2020-09-23
CNews,Christian Estrosi,Maire de Nice,Les Républicains,DROITE,8.093173003300029,2020-09-23
RTL,Laurent Fabius,"Ancien Premier ministre, Président du Conseil constitutionnel",Parti socialiste,GAUCHE,2.525099859505735,2020-09-23
France Inter,Gérald Darmanin,Ministre de l'Intérieur,La République en marche !,CENTRE (majorité),4.691935734121408,2020-09-23
RFI,Matthieu  Orphelin,Député du Maine-et-Loire,La République en marche !,CENTRE (majorité),4.789997902319598,2020-09-23
Le Figaro,Nathalie Avy-Elimas,Secrétaire d'État chargée de l'Éducation prioritaire,MoDem,CENTRE,5.501626297323361,2020-09-23
Europe 1,François Bayrou,"Haut-commissaire au Plan, maire de Pau et président du MoDem",MoDem,CENTRE,5.500002739254025,2020-09-23
RMC-BFM TV,Aurore Bergé,Députée des Yvelines,La République en marche !,CENTRE (majorité),4.570219691516069,2020-09-23
France Inter,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.71515378678269,2020-09-24
Public Sénat,René-Paul Savary,Sénateur de la Marne,Les Républicains,DROITE,8.362012806952347,2020-09-24
Public Sénat,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.38361502793521,2020-09-24
Europe 1,Robert Ménard,Maire de Béziers,Divers droite,DROITE,8.124242277139034,2020-09-24
Radio Classique,Jean-Pierre Chevènement,Ancien ministre,MRC,GAUCHE,2.3165094829167954,2020-09-24
RFI,Jean-Michel Jacques,Député du Morbihan,La République en marche !,CENTRE (majorité),4.024630994508357,2020-09-24
RMC,Marion Maréchal-Le Pen,Ancienne députée de Vaucluse,Rassemblement national,EXT D,9.05329240427779,2020-09-24
Le Figaro,Sarah El Haïry,Secrétaire d'État chargée de la Jeunesse et de l'Engagement,MoDem,CENTRE,5.551364608935719,2020-09-24
LCI,Alexis Corbière,Député de Seine-Saint-Denis,La France insoumise,EXT G,1.2097028075848013,2020-09-24
