antenne,nom complet,qualite,parti,CLR,color_num_rand,datetime
France Info,Olivier Faure,Premier secrétaire du Parti socialiste et président du groupe Nouvelle gauche à l'Assemblée nationale,Parti socialiste,GAUCHE,2.5177573487223865,2021-04-15
BFM TV,Stanislas Guerini,Député de Paris,La République en marche !,CENTRE (majorité),4.562208299495256,2021-04-15
LCI,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.7434331790582434,2021-04-15
France Info,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.11839904937744,2021-04-15
Le Figaro,Rachid Temal,Sénateur du Val d'Oise et porte-parole du groupe socialiste,Parti socialiste,GAUCHE,2.7604150048935714,2021-04-15
CNews,Sylvain Maillard,Député de Paris,La République en marche !,CENTRE (majorité),4.078264284413247,2021-04-15
BFM TV,Eric Coquerel,"Député de Seine-Saint-Denis, Coordinateur politique et porte-parole du Parti de gauche",La France insoumise,EXT G,1.76904466330669,2021-04-15
RMC,Eric Dupond-Moretti,"Garde des Sceaux, ministre de la Justice",Divers,DIV,6.581091523760936,2021-04-15
RFI,Jean-Luc Mélenchon,Député des Bouches-du-Rhône et coprésident du bureau national du Parti de gauche,La France insoumise,EXT G,1.455971140692921,2021-04-15
RTL,Sarah El Haïry,Secrétaire d'État chargée de la Jeunesse et de l'Engagement,MoDem,CENTRE,5.3128483036584395,2021-04-15
France Inter,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.4769530663700399,2021-04-15
Public Sénat,Emmanuel Capus,Sénateur de Maine-et-Loire,Agir,CENTRE DROIT,7.600756250248363,2021-04-15
Sud Radio,Julien Denormandie,Ministre de l'Agriculture et de l'Alimentation,La République en marche !,CENTRE (majorité),4.033589407205668,2021-04-15
France 2,Anne Hidalgo,Maire de Paris,Parti socialiste,GAUCHE,2.500124861653202,2021-04-15
Public Sénat,Hervé Marseille,Président du groupe Union centriste du Sénat,UDI,CENTRE DROIT,7.38018013036594,2021-04-15
CNews,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.159219038670016,2021-04-15
RMC-BFM TV,François Ruffin,Député de la Somme,La France insoumise,EXT G,1.5759041753323677,2021-04-15
France Info,Benoît Hamon,Ancien candidat à l'élection présidentielle et ancien député des Yvelines,Génération.s,GAUCHE,2.40648612335402,2021-04-16
CNews,Alexis Bachelay,Ancien député des Hauts-de-Seine,Parti socialiste,GAUCHE,2.7232467511198366,2021-04-16
France Info,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.689781564390156,2021-04-16
CNews,Julien Dray,Conseiller régional d'Ile-de-France,Parti socialiste,GAUCHE,2.5010334296977708,2021-04-16
BFM TV,Jeanne Barseghian,Maire de Strasbourg,Europe écologie - Les Verts,GAUCHE,2.2196326448295864,2021-04-16
CNews,François Pupponi,Député du Val-d'Oise,Divers gauche,GAUCHE,2.100266179646497,2021-04-16
CNews,Othman Nasrou,Conseiller régional d'Ile-de-France,Les Républicains,DROITE,8.000934550499691,2021-04-16
CNews,Philippe de Villiers,Président du Mouvement pour la France,Mouvement pour la France,DROITE,8.627867916062694,2021-04-16
LCP,Françoise Gatel,Sénatrice d'Ille-et-Vilaine,UDI,CENTRE DROIT,7.460501784486811,2021-04-16
France Info,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.722576887514686,2021-04-16
RMC-BFM TV,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.031643822122745,2021-04-16
LCI,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.498886468961018,2021-04-16
CNews,Manuel Valls,Ancien Premier ministre,Divers gauche,GAUCHE,2.1152497237334513,2021-04-16
France 2,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.218421493256542,2021-04-16
Public Sénat,Marie-Noëlle Lienemann,Sénatrice de Paris,Gauche républicaine et socialiste,GAUCHE,2.7976574901634965,2021-04-16
Le Figaro,Andréa Kotarac,Secrétaire général du parti localiste,Rassemblement national,EXT D,9.217309880340803,2021-04-16
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.570474948017644,2021-04-16
Public Sénat,Sophie Cluzel,Secrétaire d'État chargée des Personnes handicapées,Divers,DIV,6.651609486819556,2021-04-16
France Inter,Julien Denormandie,Ministre de l'Agriculture et de l'Alimentation,La République en marche !,CENTRE (majorité),4.063550871049022,2021-04-17
CNews,Jean-Pierre Lecoq,Maire du 6e arrondissement de Paris et conseiller régional d'Ile-de-France,Les Républicains,DROITE,8.515925491048726,2021-04-17
CNews,Thierry Mariani,Député européen,Divers droite,DROITE,8.381809475247762,2021-04-17
CNews,Prisca Thevenot,Porte-parole de LREM,La République en marche !,CENTRE (majorité),4.511700930703803,2021-04-17
CNews,Philippe Benassaya,Maire de Bois d'Arcy et conseiller départemental des Yvelines,Les Républicains,DROITE,8.071632427965016,2021-04-17
CNews,Vincent Jeanbrun,Maire de L'Häy-les-Roses,Les Républicains,DROITE,8.723086613429865,2021-04-17
CNews,François Grosdidier,Sénateur de Moselle,Les Républicains,DROITE,8.015199510209428,2021-04-17
CNews,Antoine Savignat,Député du Val-d'Oise,Les Républicains,DROITE,8.400080290470871,2021-04-17
Europe 1,Olivier Faure,Premier secrétaire du Parti socialiste et président du groupe Nouvelle gauche à l'Assemblée nationale,Parti socialiste,GAUCHE,2.274713021668387,2021-04-17
France Inter,Benoît Hamon,Ancien candidat à l'élection présidentielle et ancien député des Yvelines,Génération.s,GAUCHE,2.6025936642133805,2021-04-17
Europe 1,Eric Dupond-Moretti,"Garde des Sceaux, ministre de la Justice",Divers,DIV,6.080226233717889,2021-04-17
CNews,Patrick Karam,Conseiller régional d'Ile-de-France,Les Républicains,DROITE,8.704710179703865,2021-04-17
France Info,Eric Coquerel,"Député de Seine-Saint-Denis, Coordinateur politique et porte-parole du Parti de gauche",La France insoumise,EXT G,1.198412948536136,2021-04-18
CNews,Jack Lang,Ancien ministre,Parti socialiste,GAUCHE,2.137929317541012,2021-04-18
LCI,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.569825625826518,2021-04-18
CNews,Karl Olive,Maire de Poissy,Les Républicains,DROITE,8.028017497398542,2021-04-18
CNews,Maud Bregeon,Porte-parole de LREM,La République en marche !,CENTRE (majorité),4.1236193213104375,2021-04-18
CNews,Zartoshte Bakhtiari,Maire de Neuilly sur Marne,Divers droite,DROITE,8.001694419502915,2021-04-18
CNews,Jean-Michel Fourgous,Maire d'Elancourt,Les Républicains,DROITE,8.262192282012661,2021-04-18
Public Sénat,Ian Brossat,Adjoint à la mairie de Paris,PCF,EXT G,1.1682075447680262,2021-04-19
BFM TV,Laurent Jacobelli,Délégué national du Rassemblement national,Rassemblement national,EXT D,9.191165559745691,2021-04-19
France Info,Guillaume Peltier,Député de Loir-et-Cher,Les Républicains,DROITE,8.640227711080609,2021-04-19
Europe 1,Edouard Philippe,Premier ministre,Divers droite,DROITE,8.747702006763664,2021-04-19
RMC,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.373287134889459,2021-04-19
RMC-BFM TV,Fabien Roussel,Membre du PCF,PCF,EXT G,1.2625783848665644,2021-04-19
France Inter,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.567021260967263,2021-04-19
BFM TV,Eric Ciotti,Député des Alpes-Maritimes et Président du conseil départemental des Alpes-Maritimes,Les Républicains,DROITE,8.27545559631223,2021-04-19
Sud Radio,Olivier Dussopt,Secrétaire d'État auprès du Ministre de l'Action et des Comptes publics,Divers,DIV,6.681314705806219,2021-04-19
Public Sénat,Jean-Pierre Sueur,Sénateur du Loiret,Parti socialiste,GAUCHE,2.4875218921909052,2021-04-19
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.125810889077933,2021-04-19
France 2,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.740149073090702,2021-04-19
CNews,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.659663448836271,2021-04-20
BFM TV,Damien Abad,"Député de l'Ain, Président du groupe Les Républicains à l'Assemblée nationale",Les Républicains,DROITE,8.700831806741697,2021-04-20
BFM TV,Manuel Bompard,Député européen,La France insoumise,EXT G,1.3799794877873723,2021-04-20
LCI,Gérald Darmanin,Ministre de l'Intérieur,La République en marche !,CENTRE (majorité),4.591778645344095,2021-04-20
RMC-BFM TV,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.352793158539759,2021-04-20
France Info,Gilles Simeoni,Président du conseil exécutif de Corse,Divers gauche,GAUCHE,2.3161313074493517,2021-04-20
France Inter,Najat Vallaud-Belkacem,Ancienne ministre,Parti socialiste,GAUCHE,2.0521054461016597,2021-04-20
RTL,Gérald Darmanin,Ministre de l'Intérieur,La République en marche !,CENTRE (majorité),4.52551973678492,2021-04-20
Europe 1,Xavier Bertrand,Président du conseil régional des Hauts-de-France,Les Républicains,DROITE,8.001379220768559,2021-04-20
Public Sénat,Frédéric Péchenard,Vice-président du Conseil régional d'Île-de-France et conseiller de Paris,Les Républicains,DROITE,8.408441965804023,2021-04-20
Sud Radio,Aurélien Taché,Député du Val-d'Oise,La République en marche !,CENTRE (majorité),4.418033810485209,2021-04-20
France 2,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.646229533718982,2021-04-20
Radio Classique,Philippe de Villiers,Président du Mouvement pour la France,Mouvement pour la France,DROITE,8.716807765922542,2021-04-20
France Info,Clément Beaune,Secrétaire d'État chargé des Affaires européennes,La République en marche !,CENTRE (majorité),4.317908354880015,2021-04-20
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.477250267977656,2021-04-21
CNews,David Lisnard,Maire de Cannes et conseiller départemental des Alpes-Maritimes,Les Républicains,DROITE,8.496732184534762,2021-04-21
BFM TV,Prisca Thevenot,Porte-parole de LREM,La République en marche !,CENTRE (majorité),4.043524962989014,2021-04-21
BFM TV,Laurent Jacobelli,Délégué national du Rassemblement national,Rassemblement national,EXT D,9.380316189557636,2021-04-21
RMC-BFM TV,Julien Denormandie,Ministre de l'Agriculture et de l'Alimentation,La République en marche !,CENTRE (majorité),4.786612207067147,2021-04-21
LCI,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.17702365067298,2021-04-21
Public Sénat,Christian Estrosi,Maire de Nice,Les Républicains,DROITE,8.706201739180147,2021-04-21
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.649839406168175,2021-04-21
RMC,Louis Aliot,Député européen,Rassemblement national,EXT D,9.686940463546685,2021-04-21
Sud Radio,David Belliard,Président du groupe EELV au conseil de Paris,Europe écologie - Les Verts,GAUCHE,2.157278101984936,2021-04-21
Public Sénat,Xavier Iacovelli,Sénateur des Hauts-de-Seine,Parti socialiste,GAUCHE,2.455322842483929,2021-04-21
France Inter,Pascal Canfin,Député européen,Divers gauche,GAUCHE,2.6431916845933108,2021-04-21
CNews,Patrick Karam,Conseiller régional d'Ile-de-France,Les Républicains,DROITE,8.394756593673891,2021-04-21
RTL,Eric Dupond-Moretti,"Garde des Sceaux, ministre de la Justice",Divers,DIV,6.4005168878308725,2021-04-21
RFI,Anne Genetet,Députée des Français établis hors de France,La République en marche !,CENTRE (majorité),4.601156252730346,2021-04-22
LCI,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.256629648076267,2021-04-22
BFM TV,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.695894698657886,2021-04-22
Sud Radio,Olivia Grégoire,"Secrétaire d'État chargée de l'Économie sociale, solidaire et responsable",La République en marche !,CENTRE (majorité),4.3880239084811965,2021-04-22
France Info,Pierre Hurmic,Maire de Bordeaux,Europe écologie - Les Verts,GAUCHE,2.005725694787219,2021-04-22
Radio Classique,Barbara Pompili,Ministre de la Transition écologique,UDE,CENTRE GAUCHE,3.599365041897335,2021-04-22
Public Sénat,Amélie de Montchalin,Ministre de la Transformation et de la Fonction publiques,La République en marche !,CENTRE (majorité),4.22726323519733,2021-04-22
Public Sénat,Vincent Delahaye,Sénateur de l'Essonne,UDI,CENTRE DROIT,7.7031456637239515,2021-04-22
France Inter,Loïg Chesnais-Girard,Président de la région Bretagne,Parti socialiste,GAUCHE,2.4420881545079993,2021-04-22
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.651869716210161,2021-04-22
France Info,Mounir Mahjoubi,Ancien secrétaire d'État chargé du Numérique,La République en marche !,CENTRE (majorité),4.30962185648667,2021-04-23
France Info,Jean-Michel Blanquer,Ministre de l'Éducation nationale et de la Jeunesse,La République en marche !,CENTRE (majorité),4.673233958681651,2021-04-23
RMC-BFM TV,Roselyne Bachelot,Ministre de la Culture,Divers droite,DROITE,8.673828564498478,2021-04-23
France Inter,Jack Lang,Ancien ministre,Parti socialiste,GAUCHE,2.666953022907701,2021-04-23
LCI,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.088430017370338,2021-04-23
CNews,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.517544202722807,2021-04-23
Europe 1,Fabien Roussel,Membre du PCF,PCF,EXT G,1.5795429993061703,2021-04-23
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.459310046345298,2021-04-23
CNews,laurianne Rossi,Députée des Hauts-de-Seine,La République en marche !,CENTRE (majorité),4.403092976248719,2021-04-24
France Info,Danièle Obono,Députée de Paris,La France insoumise,EXT G,1.027565558483502,2021-04-24
CNews,Jean-Lin Lacapelle,Député européen et conseiller régional d'Ile-de-France,Rassemblement national,EXT D,9.107168284721439,2021-04-24
Europe 1,Manuel Valls,Ancien Premier ministre,Divers gauche,GAUCHE,2.08469712134748,2021-04-24
BFM TV,François Bayrou,"Haut-commissaire au Plan, maire de Pau et président du MoDem",MoDem,CENTRE,5.345318909783928,2021-04-25
BFM TV,Audrey Pulvar,Adjointe au maire de Paris,Divers gauche,GAUCHE,2.2280927455993287,2021-04-25
LCI,Xavier Bertrand,Président du conseil régional des Hauts-de-France,Les Républicains,DROITE,8.267991871749144,2021-04-25
France Info,Manon Aubry,Députée européenne,La France insoumise,EXT G,1.4792691723630274,2021-04-26
BFM TV,Guillaume Larrivé,Député de l'Yonne,Les Républicains,DROITE,8.740263938364672,2021-04-26
BFM TV,Julien Borowczyk,Député de la Loire,La République en marche !,CENTRE (majorité),4.217142999487733,2021-04-26
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.329685060337665,2021-04-26
CNews,Prisca Thevenot,Porte-parole de LREM,La République en marche !,CENTRE (majorité),4.162468174972905,2021-04-26
France Inter,Loïc Dombreval,Député des Alpes-Maritimes,La République en marche !,CENTRE (majorité),4.387247520401171,2021-04-26
LCI,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.443456517530975,2021-04-26
CNews,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.127007037689431,2021-04-26
Europe 1,Bruno Le Maire,Ministre de l'Économie,La République en marche !,CENTRE (majorité),4.662980823477805,2021-04-26
Sud Radio,Emmanuelle Wargon,Ministre déléguée chargée du Logement,Divers,DIV,6.398209620394562,2021-04-26
Public Sénat,Marta de Cidrac,Sénatrice des Yvelines,Les Républicains,DROITE,8.196341942817789,2021-04-26
France Info,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.3227433239610487,2021-04-26
BFM TV,Alexis Corbière,Député de Seine-Saint-Denis,La France insoumise,EXT G,1.4694042670620142,2021-04-27
BFM TV,Anne-Laure Cattelot,Députée du Nord,La République en marche !,CENTRE (majorité),4.2860842808200585,2021-04-27
France Info,Cédric O,Secrétaire d'État chargé de la Transition numérique et des Communications électroniques,La République en marche !,CENTRE (majorité),4.644994509696606,2021-04-27
BFM TV,frédéric Descrozaille,Député du Val-de-Marne,La République en marche !,CENTRE (majorité),4.132182392966026,2021-04-27
BFM TV,Julien Odoul,Président du groupe RN à la région Bourgogne-Franche-Comté,Rassemblement national,EXT D,9.358536970473448,2021-04-27
Europe 1,Jean-Michel Fauvergue,Député de Seine-et-Marne,La République en marche !,CENTRE (majorité),4.259388191108439,2021-04-27
CNews,David Guiraud,Porte parole Jeunesse de la France insoumise,La France insoumise,EXT G,1.787331923417367,2021-04-27
France Info,Danièle Obono,Députée de Paris,La France insoumise,EXT G,1.3649357351912847,2021-04-27
Le Figaro,Frédéric Péchenard,Vice-président du Conseil régional d'Île-de-France et conseiller de Paris,Les Républicains,DROITE,8.018442098810153,2021-04-27
Public Sénat,Najat Vallaud-Belkacem,Ancienne ministre,Parti socialiste,GAUCHE,2.241395775415231,2021-04-27
Public Sénat,Philippe Mouiller,Sénateur des Deux-Sèvres,Les Républicains,DROITE,8.68129032713179,2021-04-27
France 2,Franck Riester,Ministre délégué chargé du Commerce extérieur et de l'Attractivité,Agir,CENTRE DROIT,7.741116624864663,2021-04-27
Sud Radio,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.655369124478959,2021-04-27
RTL,Philippe de Villiers,Président du Mouvement pour la France,Mouvement pour la France,DROITE,8.501560973295128,2021-04-27
France Info,Marine Le Pen,Présidente du Rassemblement national et députée du Pas-de-Calais,Rassemblement national,EXT D,9.042108179722876,2021-04-27
LCI,Jean-Pierre Raffarin,Ancien Premier ministre,Les Républicains,DROITE,8.71143015581279,2021-04-27
RMC-BFM TV,Elisabeth Borne,"Ministre du Travail, de l'Emploi et de l'Insertion",La République en marche !,CENTRE (majorité),4.487151252376697,2021-04-27
CNews,Bérangère Couillard,Députée de la Gironde,La République en marche !,CENTRE (majorité),4.290166366038983,2021-04-27
RFI,Laetitia Saint-Paul,Députée du Maine-et-Loire,La République en marche !,CENTRE (majorité),4.465224766873812,2021-04-27
France Inter,Frédérique Vidal,"Ministre de l'Enseignement supérieur, de la Recherche et de l'Innovation",Divers,DIV,6.478678148606652,2021-04-27
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.705104351451702,2021-04-28
CNews,Christophe Madrolle,Président de l'Union des centristes et écologistes,UCE,CENTRE,5.450329049363244,2021-04-28
Public Sénat,Marc Fesneau,Ministre chargé des Relations avec le Parlement,MoDem,CENTRE,5.508726065308043,2021-04-28
LCI,David Lisnard,Maire de Cannes et conseiller départemental des Alpes-Maritimes,Les Républicains,DROITE,8.629704133901463,2021-04-28
Radio Classique,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.396139285011001,2021-04-28
Sud Radio,Guillaume Larrivé,Député de l'Yonne,Les Républicains,DROITE,8.219808013506409,2021-04-28
France 2,Eric Dupond-Moretti,"Garde des Sceaux, ministre de la Justice",Divers,DIV,6.159337857181449,2021-04-28
Public Sénat,Sophie Primas,Sénatrice des Yvelines,Les Républicains,DROITE,8.61431200647856,2021-04-28
RMC-BFM TV,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.063761340688657,2021-04-28
France Inter,Gérald Darmanin,Ministre de l'Intérieur,La République en marche !,CENTRE (majorité),4.75794249071848,2021-04-28
RMC,Thierry Mariani,Député européen,Divers droite,DROITE,8.448852476294102,2021-04-28
Le Figaro,Ian Brossat,Adjoint à la mairie de Paris,PCF,EXT G,1.4596722307129482,2021-04-28
BFM TV,Maud Bregeon,Porte-parole de LREM,La République en marche !,CENTRE (majorité),4.737324650589569,2021-04-28
France Info,Jean-Michel Fauvergue,Député de Seine-et-Marne,La République en marche !,CENTRE (majorité),4.021688152021165,2021-04-28
France Info,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.365674772555807,2021-04-28
France Info,Anne Hidalgo,Maire de Paris,Parti socialiste,GAUCHE,2.712911755742163,2021-04-28
France Info,Gilles Platret,Maire de Chalon-su-Saône et porte-parole des Républicains,Les Républicains,DROITE,8.36225630802092,2021-04-29
France Info,Rachida Dati,Maire du 7e arrondissement de Paris,Les Républicains,DROITE,8.66727769896762,2021-04-29
Le Figaro,Florence Berthout,Maire du 5e arrondissement de Paris,Divers droite,DROITE,8.547527497861338,2021-04-29
CNews,Antoine Savignat,Député du Val-d'Oise,Les Républicains,DROITE,8.750690250483348,2021-04-29
BFM TV,François Durovray,Président du conseil départemental de l'Essonne,Les Républicains,DROITE,8.618224022127995,2021-04-29
RMC,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.193136069634709,2021-04-29
BFM TV,Hervé Morin,Président de la Région Normandie,UDI,CENTRE DROIT,7.450193084469386,2021-04-29
RMC-BFM TV,Marion Maréchal-Le Pen,Ancienne députée de Vaucluse,Rassemblement national,EXT D,9.491632170213526,2021-04-29
RTL,Valérie Pécresse,Présidente du Conseil régional d'Île-de-France,Les Républicains,DROITE,8.037585284166772,2021-04-29
RFI,Jacqueline Eustache-Brinio,Sénatrice du Val-d'Oise,Les Républicains,DROITE,8.264408267167152,2021-04-29
Sud Radio,Laurent Saint-Martin,Député du Val-de-Marne,La République en marche !,CENTRE (majorité),4.717528826665264,2021-04-29
RMC,Eric Diard,Député des Bouches-du-Rhône,Les Républicains,DROITE,8.512004537947911,2021-04-29
Public Sénat,Rémi Féraud,Sénateur de Paris,Parti socialiste,GAUCHE,2.0246764155149903,2021-04-29
Public Sénat,Nicolas Bay,Deputé européen,Rassemblement national,EXT D,9.747773676938564,2021-04-29
CNews,Robert Ménard,Maire de Béziers,Divers droite,DROITE,8.063370326552528,2021-04-29
Radio Classique,Jean-Pierre Raffarin,Ancien Premier ministre,Les Républicains,DROITE,8.592841185081701,2021-04-29
LCI,Thierry Mariani,Député européen,Divers droite,DROITE,8.468394811084332,2021-04-29
France Info,Olivier Véran,Ministre des Solidarités et de la Santé,La République en marche !,CENTRE (majorité),4.056453850584319,2021-04-30
France Info,Nicolas Bay,Deputé européen,Rassemblement national,EXT D,9.337993807190934,2021-04-30
France Info,Nathalie Avy-Elimas,Secrétaire d'État chargée de l'Éducation prioritaire,MoDem,CENTRE,5.480768411364509,2021-04-30
BFM TV,Mathieu Hanotin,Maire de Saint-Denis,Génération.s,GAUCHE,2.291239882276532,2021-04-30
CNews,Jean-Michel Fourgous,Maire d'Elancourt,Les Républicains,DROITE,8.60685547400334,2021-04-30
France Inter,Yann Galut,"Maire de Bourges, ancien député du Cher",Parti socialiste,GAUCHE,2.7410645009541,2021-04-30
RMC-BFM TV,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.523778548027919,2021-04-30
Europe 1,Cédric O,Secrétaire d'État chargé de la Transition numérique et des Communications électroniques,La République en marche !,CENTRE (majorité),4.542047208098271,2021-04-30
Public Sénat,Jean-Michel Arnaud,SÃ©nateur des Hautes-Alpes,UDI,CENTRE DROIT,7.206621684704754,2021-04-30
RTL,Olivier Faure,Premier secrétaire du Parti socialiste et président du groupe Nouvelle gauche à l'Assemblée nationale,Parti socialiste,GAUCHE,2.4555226978929934,2021-04-30
Sud Radio,Luc Chatel,Ancien ministre,Les Républicains,DROITE,8.748337221980984,2021-04-30
France 2,Fabien Roussel,Membre du PCF,PCF,EXT G,1.012358134605181,2021-04-30
RMC,Gaël Perdriau,Maire de Saint-Etienne,Les Républicains,DROITE,8.185174692267841,2021-04-30
France Inter,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.576443464536371,2021-04-30
Public Sénat,Guillaume Larrivé,Député de l'Yonne,Les Républicains,DROITE,8.016567889568142,2021-04-30
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.11473183559656,2021-04-30
CNews,Jean-Didier Berger,Maire de Clamart et porte-parole de Libres !,Les Républicains,DROITE,8.261588024933221,2021-05-01
CNews,Richard Bouigue,Premier adjoint à la mairie du 12e arrondissement de Paris,Parti socialiste,GAUCHE,2.6386974324215005,2021-05-01
CNews,Benjamin Cauchy,Porte parole de Debout la France,Debout la France,DROITE,8.482085468870558,2021-05-01
CNews,Vincent Jeanbrun,Maire de L'Häy-les-Roses,Les Républicains,DROITE,8.340296094462117,2021-05-01
CNews,Jacqueline Eustache-Brinio,Sénatrice du Val-d'Oise,Les Républicains,DROITE,8.168856543711705,2021-05-01
CNews,Patrick Karam,Conseiller régional d'Ile-de-France,Les Républicains,DROITE,8.042860112130441,2021-05-01
CNews,Romain Colas,Secrétaire national du Parti socialiste et maire de Boussy-Saint-Antoine,Parti socialiste,GAUCHE,2.1315005741422812,2021-05-01
CNews,Gaëtan Dussausaye,Membre du Conseil national du RN,Rassemblement national,EXT D,9.386326369997269,2021-05-01
CNews,Christophe Madrolle,Président de l'Union des centristes et écologistes,UCE,CENTRE,5.158753017953653,2021-05-01
BFM TV,David Lisnard,Maire de Cannes et conseiller départemental des Alpes-Maritimes,Les Républicains,DROITE,8.152636679538928,2021-05-02
BFM TV,Xavier Bertrand,Président du conseil régional des Hauts-de-France,Les Républicains,DROITE,8.251290999519425,2021-05-02
France Info,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.680596035056899,2021-05-02
LCI,Valérie Pécresse,Présidente du Conseil régional d'Île-de-France,Les Républicains,DROITE,8.281594086718629,2021-05-02
CNews,François Pupponi,Député du Val-d'Oise,Divers gauche,GAUCHE,2.2176841343772717,2021-05-03
France Info,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.772009496438695,2021-05-03
France Info,Philippe Juvin,Maire de La Garenne-Colombes,Les Républicains,DROITE,8.344007740528466,2021-05-03
BFM TV,Eric Diard,Député des Bouches-du-Rhône,Les Républicains,DROITE,8.387649114355591,2021-05-03
CNews,Pierre Liscia,Porte-parole de Libres,Libres,DROITE,8.581423022575414,2021-05-03
LCP,Didier Baichère,Député des Yvelines,La République en marche !,CENTRE (majorité),4.57125127325963,2021-05-03
BFM TV,Agnès Evren,Députée européenne,Les Républicains,DROITE,8.138295596715208,2021-05-03
RMC,Julien Denormandie,Ministre de l'Agriculture et de l'Alimentation,La République en marche !,CENTRE (majorité),4.19469887950588,2021-05-03
France Inter,Vincent Peillon,Ancien ministre,Parti socialiste,GAUCHE,2.5280792977302933,2021-05-03
Europe 1,Eric Ciotti,Député des Alpes-Maritimes et Président du conseil départemental des Alpes-Maritimes,Les Républicains,DROITE,8.674254073900794,2021-05-03
LCP,Paul Christophe,Député du Nord,Agir,CENTRE DROIT,7.469325948069529,2021-05-03
LCP,Cédric Villani,Député de l'Essonne,La République en marche !,CENTRE (majorité),4.616480264215274,2021-05-03
LCP,Béatrice Descamps,Député du Nord,UDI,CENTRE DROIT,7.214995730850179,2021-05-03
Public Sénat,Christine Lavarde,Sénatrice des Hauts-de-Seine,Les Républicains,DROITE,8.702725832333085,2021-05-03
France 2,Jean-Baptiste Lemoyne,"Secrétaire d'État chargé du Tourisme, des Français de létranger et de la Francophonie",La République en marche !,CENTRE (majorité),4.075804367503494,2021-05-03
