id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance,names_ok,sortant
3780,069-05,4,BOUARD,Stéphanie,Mme,ECO,Ecologistes,Bouard,non
3781,069-05,5,BROCARD,Blandine,Mme,ENS,Ensemble ! (Majorité présidentielle),Brocard,oui
3782,069-05,6,MATTEUCCI,Fabrice,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Matteucci,non
3783,069-05,7,RIVIÈRE,Hélène,Mme,DXG,Divers extrême gauche,Rivière,non
3784,069-05,8,SLIMANI,Mohamed,M.,DIV,Divers,Slimani,non
3785,069-05,9,KABIL,Julie,Mme,ECO,Ecologistes,Kabil,non
3786,069-06,1,BUISSON,Katia,Mme,RDG,Parti radical de gauche,Buisson,non
3787,069-06,2,SENDE,Jean-Eric,M.,DVC,Divers centre,Sende,non
3788,069-06,3,RYCKAERT,Paul,M.,DIV,Divers,Ryckaert,non
3789,069-06,4,WINKELMULLER,Laura,Mme,REG,Régionaliste,Winkelmuller,non
3790,069-06,5,CHARLIEU,Clément,M.,UDI,Union des Démocrates et des Indépendants,Charlieu,non
3791,069-06,6,PRIVOLT,Grégoire,M.,DXG,Divers extrême gauche,Privolt,non
3792,069-06,7,BOUHAMI,Nadia,Mme,DXG,Divers extrême gauche,Bouhami,non
3793,069-06,8,BOUTAYEB,Maude,Mme,DIV,Divers,Boutayeb,non
3794,069-06,9,ROCHE,Ingrid,Mme,ECO,Ecologistes,Roche,non
3795,069-06,10,MOREL,Michèle,Mme,RN,Rassemblement National,Morel,non
3796,069-06,11,PORTA,Pierre,M.,REC,Reconquête !,Porta,non
3797,069-06,12,MEZIANI,Zaïr,M.,ECO,Ecologistes,Meziani,non
3798,069-06,13,HAZIZA,Emmanuelle,Mme,ENS,Ensemble ! (Majorité présidentielle),Haziza,non
3799,069-06,14,AMARD,Gabriel,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Amard,non
3800,069-06,15,VIEIRA,Philippe,M.,DIV,Divers,Vieira,non
3801,069-07,1,BOUGUERRA,Monia,Mme,DIV,Divers,Bouguerra,non
3802,069-07,2,LUCCHESI,Geneviève,Mme,REC,Reconquête !,Lucchesi,non
3803,069-07,3,KHEDHER,Anissa,Mme,ENS,Ensemble ! (Majorité présidentielle),Khedher,oui
3804,069-07,4,LAHMAR,Abdelkader,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Lahmar,non
3805,069-07,5,VINCENDET,Alexandre,M.,LR,Les Républicains,Vincendet,non
3806,069-07,6,VACHON,Alain,M.,DIV,Divers,Vachon,non
3807,069-07,7,GASMI,Nordine,M.,DIV,Divers,Gasmi,non
3808,069-07,8,PAPA,Anna,Mme,DVD,Divers droite,Papa,non
3809,069-07,9,DOGANEL,Izzet,M.,DVC,Divers centre,Doganel,non
3810,069-07,10,SPREUX,Thomas,M.,DXG,Divers extrême gauche,Spreux,non
3811,069-07,11,GOMEZ,Stéphane,M.,SOC,Parti socialiste,Gomez,non
3812,069-07,12,JONCOUR,Tiffany,Mme,RN,Rassemblement National,Joncour,non
3813,069-07,13,LOUNES,Rachid,M.,ECO,Ecologistes,Lounes,non
3814,069-07,14,BOUHILA,Charlotte,Mme,ECO,Ecologistes,Bouhila,non
3815,069-08,1,LAWO,Valérie,Mme,ECO,Ecologistes,Lawo,non
3816,069-08,2,BRAUD,Pascale,Mme,DVG,Divers gauche,Braud,non
3817,069-08,3,DE PENFENTENYO DE KERVÉRÉGUIN,Marie,Mme,REC,Reconquête !,De Penfentenyo De Kervéréguin,non
3818,069-08,4,TEYSSIER,Tristan,M.,DXG,Divers extrême gauche,Teyssier,non
3819,069-08,5,PELERINS,Noëlle,Mme,ECO,Ecologistes,Pelerins,non
3820,069-08,6,GAUDE,Joël,M.,ECO,Ecologistes,Gaude,non
3821,069-08,7,DUBOIS,Antoine,M.,RN,Rassemblement National,Dubois,non
3822,069-08,8,SERRE,Nathalie,Mme,LR,Les Républicains,Serre,oui
3823,069-08,9,BULIN,Cécile,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Bulin,non
3824,069-08,10,DESPRAS,Dominique,M.,ENS,Ensemble ! (Majorité présidentielle),Despras,non
3825,069-08,11,NOVE JOSSERAND,Mathieu,M.,DSV,Droite souverainiste,Nove Josserand,non
3826,069-09,1,BERTHOUX,Rémi,M.,RN,Rassemblement National,Berthoux,non
3827,069-09,2,PORTIER,Alexandre,M.,LR,Les Républicains,Portier,non
3828,069-09,3,DUNE,Mylène,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Dune,non
3829,069-09,4,MÉJEAN,Ambroise,M.,ENS,Ensemble ! (Majorité présidentielle),Méjean,non
3830,069-09,5,BAÏDA,Delphine,Mme,DIV,Divers,Baïda,non
3831,069-09,6,CHAVANNE,Alexandre,M.,REG,Régionaliste,Chavanne,non
3832,069-09,7,HELLY,Chantal,Mme,DXG,Divers extrême gauche,Helly,non
3833,069-09,8,PERRICHON,Elodie,Mme,ECO,Ecologistes,Perrichon,non
3834,069-09,9,DE GUERNON,Claire,Mme,REC,Reconquête !,De Guernon,non
3835,069-09,10,GIRERD,Maguy,Mme,DSV,Droite souverainiste,Girerd,non
3836,069-10,1,ULUBAS,Xavier,M.,ECO,Ecologistes,Ulubas,non
3837,069-10,2,BOMPARD,Gilles,M.,DXG,Divers extrême gauche,Bompard,non
3838,069-10,3,RAMBAUD,Gerbert,M.,DSV,Droite souverainiste,Rambaud,non
3839,069-10,4,EDERY,Michèle,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Edery,non
3840,069-10,5,MARION,Agnès,Mme,REC,Reconquête !,Marion,non
3841,069-10,6,CHANELET,Fatiha,Mme,DVD,Divers droite,Chanelet,non
3842,069-10,7,CRUZ,Sophie,Mme,LR,Les Républicains,Cruz,non
3843,069-10,8,GASSILLOUD,Thomas,M.,ENS,Ensemble ! (Majorité présidentielle),Gassilloud,oui
3844,069-10,9,RUIZ,Sébastien,M.,ECO,Ecologistes,Ruiz,non
3845,069-11,1,ASCARINO,Charles,M.,REC,Reconquête !,Ascarino,non
3846,069-11,2,BROWNING,Isabelle,Mme,DXG,Divers extrême gauche,Browning,non
3847,069-11,3,CHIRAT,Christophe,M.,DIV,Divers,Chirat,non
3848,069-11,4,MARTINON,Alexis,M.,ECO,Ecologistes,Martinon,non
3849,069-11,5,ALLALI,Moshen,M.,DVG,Divers gauche,Allali,non
3850,069-11,6,VIDAL,Paul,M.,LR,Les Républicains,Vidal,non
3851,069-11,7,DULAC,Michel,M.,RN,Rassemblement National,Dulac,non
3852,069-11,8,SPENNATO,Sophie,Mme,ECO,Ecologistes,Spennato,non
3853,069-11,9,YOUSFI,Abdel,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Yousfi,non
3854,069-11,10,FUGIT,Jean-Luc,M.,ENS,Ensemble ! (Majorité présidentielle),Fugit,oui
3855,069-11,11,ROSSOLINI,Aude,Mme,DVD,Divers droite,Rossolini,non
3856,069-11,12,COMMUNAL,Pierre-Henri,M.,DSV,Droite souverainiste,Communal,non
3857,069-12,1,HEURTEL,Antoine,M.,DIV,Parti Pirate,Heurtel,non
3858,069-12,2,PIRRA,Olivier,M.,REC,Reconquête !,Pirra,non
3859,069-12,3,CARRON,Lucie,Mme,ECO,Ecologistes,Carron,non
3860,069-12,4,SPENNATO,Samantha,Mme,ECO,Ecologistes,Spennato,non
3861,069-12,5,ISAAC-SIBILLE,Cyrille,M.,ENS,Ensemble ! (Majorité présidentielle),Isaac-Sibille,oui
3862,069-12,6,MOROGE,Jérôme,M.,LR,Les Républicains,Moroge,non
3863,069-12,7,AMSELLEM,David,M.,DSV,Droite souverainiste,Amsellem,non
3864,069-12,8,FAURITE,Cécile,Mme,DXG,Divers extrême gauche,Faurite,non
