epci,libelle_epci,population_carto,effectif_cumu_termine,taux_vaccination_adultes,EPCI 2020,Nom,niveau_vie_median,interdecile,dep,pauvrete40,pauvrete60,vaccination_septembre,tx_chomage,vote_fn
244100293,CC DES COLLINES DU PERCHE,4590,4060,88.5,244100293.0,Les Collines du Perche,19690.0,"2,7",41,"10,4","19,7",82.8,8.2,27.9
244100780,CC DE LA SOLOGNE DES ETANGS,6690,6120,91.5,244100780.0,La Sologne des Étangs,20220.0,"2,8",41,"6,3","15,6",85.9,7.8,28.7
244100798,CC DU GRAND CHAMBORD,16030,14630,91.3,244100798.0,Le Grand Chambord,22510.0,"2,6",41,"5,0","11,0",86.1,7.5,27.3
244100806,CC DE LA SOLOGNE DES RIVIERES,8260,7460,90.3,244100806.0,La Sologne des Rivières,20370.0,"2,7",41,"8,9","18,5",85.2,9.2,28.0
244200614,CC DES VALS D AIX ET ISABLE,4600,4000,87.0,244200614.0,Les Vals d'Aix et Isable,19470.0,"2,8",42,"9,2","22,1",81.1,7.1,29.3
244200622,CC DES MONTS DU PILAT,11710,10130,86.5,244200622.0,Les Monts du Pilat,21510.0,"2,7",42,"5,8","13,1",80.4,5.9,23.3
244200630,CC DU PAYS ENTRE LOIRE ET RHONE,10310,8840,85.7,244200630.0,Le Pays entre Loire et Rhône,20080.0,"2,6",42,"7,5","16,6",79.8,7.1,29.6
244200770,SAINT ETIENNE METROPOLE,305370,258220,84.6,244200770.0,Saint-Etienne Métropole,19640.0,"3,2",42,"17,2","28,3",77.9,11.1,22.2
244200820,CC DU PAYS D URFE,3980,3480,87.4,244200820.0,Le Pays d'Urfé,18730.0,"2,6",42,"9,4","22,9",81.7,6.4,28.0
244200895,CC DU PILAT RHODANIEN,13190,11280,85.5,244200895.0,Le Pilat Rhodanien,22420.0,"2,7",42,"5,3","12,6",78.8,6.3,25.0
244300307,CC DU PAYS DE MONTFAUCON,6190,5260,85.0,244300307.0,Le Pays de Montfaucon,20000.0,"2,5",43,"6,9","16,8",79.2,6.3,28.8
244301016,CC DES SUCS,13990,11650,83.3,244301016.0,Les Sucs,20110.0,"2,6",43,"7,7","17,3",76.5,6.9,26.4
244301099,CC AUZON COMMUNAUTE,7170,6020,84.0,244301099.0,Auzon Communauté,19630.0,"2,6",43,"10,2","20,6",78.7,9.3,23.9
244301107,CC DU HAUT LIGNON,6440,5330,82.8,244301107.0,Le Haut-Lignon,19360.0,"2,8",43,"8,2","21,0",75.8,8.1,18.0
244301123,CC DES PAYS DE CAYRES ET DE PRADELLES,3850,3240,84.2,244301123.0,Les Pays de Cayres et de Pradelles,18190.0,"2,8",43,"11,0","27,1",77.4,6.4,25.7
244301131,CC LOIRE ET SEMENE,15530,13550,87.3,244301131.0,Loire et Semène,21630.0,"2,5",43,"6,1","13,4",80.4,6.5,31.2
244400404,NANTES METROPOLE,510800,448940,87.9,244400404.0,Nantes Métropole,22710.0,"3,3",44,"11,2","18,5",82.0,9.4,9.3
244400438,CC DE GRAND LIEU,30740,27770,90.3,244400438.0,Grand Lieu,22080.0,"2,4",44,"5,0","9,8",84.7,5.7,17.8
