dep,nb_crib,nb_pos,nb_C1,tx_C1,datetime
56,167.0,304.0,0.0,0.0,2021-06-11
45,139.0,578.0,5.0,31.25,2021-06-11
88,78.0,170.0,0.0,0.0,2021-06-11
84,15.0,217.0,2.0,14.29,2021-06-11
83,218.0,464.0,0.0,0.0,2021-06-11
11,61.0,131.0,0.0,0.0,2021-06-11
21,254.0,391.0,0.0,0.0,2021-06-11
57,441.0,516.0,0.0,0.0,2021-06-11
22,43.0,198.0,0.0,0.0,2021-06-11
89,149.0,227.0,0.0,0.0,2021-06-11
60,258.0,466.0,0.0,0.0,2021-06-11
64,47.0,496.0,2.0,4.55,2021-06-11
65,29.0,85.0,1.0,4.35,2021-06-11
24,33.0,129.0,0.0,0.0,2021-06-11
26,71.0,151.0,0.0,0.0,2021-06-11
974,553.0,1381.0,0.0,0.0,2021-06-11
