dep,datetime,hosp,rea,HospConv,SSR_USLD,autres,rad,dc,population,hosp_pour_100k,rea_pour_100k
94,2020-10-02,355,49,,,,5106,1273,1387926,25.6,3.5
95,2020-10-02,166,28,,,,3212,775,1228618,13.5,2.3
971,2020-10-02,176,27,,,,344,76,390253,45.1,6.9
972,2020-10-02,31,15,,,,134,21,372594,8.3,4.0
973,2020-10-02,22,4,,,,1722,63,268700,8.2,1.5
974,2020-10-02,53,16,,,,402,21,853659,6.2,1.9
976,2020-10-02,9,3,,,,457,29,256518,3.5,1.2
01,2020-10-03,31,7,,,,511,113,643350,4.8,1.1
02,2020-10-03,50,4,,,,1184,290,534490,9.4,0.7
03,2020-10-03,18,2,,,,243,46,337988,5.3,0.6
04,2020-10-03,9,0,,,,161,16,163915,5.5,0.0
05,2020-10-03,11,4,,,,158,22,141284,7.8,2.8
06,2020-10-03,126,16,,,,1158,222,1083310,11.6,1.5
07,2020-10-03,8,4,,,,471,120,325712,2.5,1.2
08,2020-10-03,11,1,,,,237,64,273579,4.0,0.4
09,2020-10-03,8,3,,,,40,2,153153,5.2,2.0
10,2020-10-03,21,4,,,,680,137,310020,6.8,1.3
11,2020-10-03,6,2,,,,260,61,370260,1.6,0.5
12,2020-10-03,16,5,,,,177,26,279206,5.7,1.8
13,2020-10-03,512,122,,,,5247,678,2024162,25.3,6.0
14,2020-10-03,31,11,,,,400,87,694002,4.5,1.6
15,2020-10-03,10,0,,,,67,15,145143,6.9,0.0
16,2020-10-03,4,1,,,,70,14,352335,1.1,0.3
17,2020-10-03,21,1,,,,164,54,644303,3.3,0.2
18,2020-10-03,20,2,,,,224,94,304256,6.6,0.7
19,2020-10-03,7,1,,,,174,42,241464,2.9,0.4
21,2020-10-03,32,11,,,,1001,258,533819,6.0,2.1
22,2020-10-03,16,4,,,,254,42,598814,2.7,0.7
23,2020-10-03,4,3,,,,89,16,118638,3.4,2.5
24,2020-10-03,16,3,,,,111,14,413606,3.9,0.7
25,2020-10-03,10,5,,,,664,154,539067,1.9,0.9
26,2020-10-03,31,7,,,,575,131,511553,6.1,1.4
27,2020-10-03,56,13,,,,314,93,601843,9.3,2.2
28,2020-10-03,19,4,,,,639,148,433233,4.4,0.9
29,2020-10-03,21,5,,,,224,48,909028,2.3,0.6
2A,2020-10-03,9,2,,,,168,50,157249,5.7,1.3
2B,2020-10-03,15,4,,,,131,16,177689,8.4,2.3
30,2020-10-03,71,20,,,,456,109,744178,9.5,2.7
31,2020-10-03,139,50,,,,1002,105,1362672,10.2,3.7
32,2020-10-03,11,1,,,,97,29,191091,5.8,0.5
33,2020-10-03,164,28,,,,1297,201,1583384,10.4,1.8
34,2020-10-03,89,31,,,,967,152,1144892,7.8,2.7
35,2020-10-03,71,8,,,,601,101,1060199,6.7,0.8
36,2020-10-03,9,3,,,,202,82,222232,4.0,1.3
37,2020-10-03,36,8,,,,438,101,606511,5.9,1.3
38,2020-10-03,125,19,,,,938,178,1258722,9.9,1.5
39,2020-10-03,6,1,,,,338,60,260188,2.3,0.4
40,2020-10-03,11,5,,,,92,15,407444,2.7,1.2
41,2020-10-03,14,1,,,,360,68,331915,4.2,0.3
42,2020-10-03,157,27,,,,1178,275,762941,20.6,3.5
43,2020-10-03,6,0,,,,134,19,227283,2.6,0.0
44,2020-10-03,56,10,,,,871,180,1394909,4.0,0.7
45,2020-10-03,44,9,,,,732,111,678105,6.5,1.3
46,2020-10-03,6,1,,,,72,22,173828,3.5,0.6
47,2020-10-03,17,4,,,,111,14,332842,5.1,1.2
