dep,datetime,tx_incidence,tx_positivite,td
976,2021-09-07,19.77,10.26,192.78
01,2021-09-08,139.87,7.39,1893.83
02,2021-09-08,48.91,7.23,676.04
03,2021-09-08,82.58,8.54,967.32
04,2021-09-08,176.21,6.81,2588.11
05,2021-09-08,97.21,8.33,1166.46
06,2021-09-08,217.19,9.52,2281.42
07,2021-09-08,168.19,8.61,1953.12
08,2021-09-08,128.85,5.97,2158.23
09,2021-09-08,202.56,10.39,1949.61
10,2021-09-08,113.91,6.34,1796.62
11,2021-09-08,110.74,5.94,1863.26
12,2021-09-08,139.38,8.03,1735.31
13,2021-09-08,411.99,9.98,4127.24
14,2021-09-08,41.84,4.79,873.76
15,2021-09-08,132.28,8.11,1631.39
16,2021-09-08,91.64,7.14,1282.95
17,2021-09-08,86.48,7.51,1151.1
18,2021-09-08,167.16,12.92,1293.96
19,2021-09-08,24.4,2.16,1130.36
21,2021-09-08,125.32,8.51,1473.38
22,2021-09-08,152.19,7.53,2022.42
23,2021-09-08,55.81,12.0,465.12
24,2021-09-08,122.19,11.43,1069.14
25,2021-09-08,174.05,9.01,1932.21
26,2021-09-08,177.27,10.76,1647.41
27,2021-09-08,107.81,9.48,1136.86
28,2021-09-08,116.84,9.82,1189.68
29,2021-09-08,64.94,6.83,950.45
2A,2021-09-08,197.31,10.24,1926.65
2B,2021-09-08,81.99,5.56,1475.86
30,2021-09-08,239.32,10.17,2352.14
31,2021-09-08,141.33,6.56,2154.37
32,2021-09-08,90.26,7.09,1273.69
33,2021-09-08,130.89,9.72,1346.26
34,2021-09-08,222.77,9.75,2283.76
35,2021-09-08,161.62,7.67,2108.27
36,2021-09-08,127.95,8.92,1434.84
37,2021-09-08,47.21,4.87,969.2
38,2021-09-08,149.34,9.32,1602.62
39,2021-09-08,80.91,6.9,1173.22
40,2021-09-08,101.88,6.41,1590.18
41,2021-09-08,46.7,5.49,850.89
42,2021-09-08,184.54,10.78,1711.16
43,2021-09-08,180.96,12.23,1479.15
44,2021-09-08,123.28,8.22,1499.52
45,2021-09-08,153.06,9.38,1632.69
46,2021-09-08,158.0,11.5,1373.36
47,2021-09-08,146.32,8.63,1696.2
48,2021-09-08,50.34,10.0,503.4
49,2021-09-08,92.35,7.87,1173.62
50,2021-09-08,94.94,7.28,1303.63
51,2021-09-08,108.08,9.14,1183.03
52,2021-09-08,177.07,8.79,2014.17
53,2021-09-08,55.78,10.28,542.62
54,2021-09-08,133.33,7.81,1707.52
55,2021-09-08,84.88,6.82,1244.93
56,2021-09-08,132.17,8.3,1592.97
57,2021-09-08,213.41,8.03,2658.38
58,2021-09-08,92.93,12.33,753.74
59,2021-09-08,151.19,4.17,3629.02
60,2021-09-08,123.71,8.87,1394.34
61,2021-09-08,147.12,9.09,1618.27
62,2021-09-08,85.03,2.52,3379.62
63,2021-09-08,109.5,9.66,1133.35
64,2021-09-08,151.4,7.91,1914.08
65,2021-09-08,241.39,13.37,1805.99
66,2021-09-08,164.35,7.27,2259.82
67,2021-09-08,194.88,8.33,2340.12
68,2021-09-08,244.02,8.1,3011.09
69,2021-09-08,189.96,10.95,1734.86
70,2021-09-08,184.04,8.59,2142.23
71,2021-09-08,84.33,8.28,1018.49
72,2021-09-08,162.36,8.13,1996.7
73,2021-09-08,126.01,9.01,1397.97
74,2021-09-08,173.41,9.94,1745.07
75,2021-09-08,133.33,5.81,2296.51
76,2021-09-08,80.98,5.76,1405.01
77,2021-09-08,115.2,8.86,1300.07
78,2021-09-08,126.71,8.58,1475.97
79,2021-09-08,181.33,10.33,1755.78
80,2021-09-08,43.3,4.01,1079.65
