,1,10,2,3,4,5,6,7,8,9,abstentions,code_insee,exprimes,inscrits,ville,votants,popTotale,taux65Plus,TauxOuvriers,TauxAgricuteurs,TauxCadres,TauxRetraites,TauxChomage
237,3746,29024,3379,15353,9703,494,171,166,6174,609,15769,75056AR11,68819,85380,Paris 11eme arrondissement,69611,153461.0,13.2,4.6,0.0,31.9,14.4,11.7
238,3056,25803,4882,19374,8166,492,191,145,7172,832,16790,75056AR12,70113,87785,Paris 12eme arrondissement,70995,144719.0,15.4,4.3,0.0,29.8,16.8,10.2
239,3620,33826,6237,18784,11383,732,305,205,7873,1000,21555,75056AR13,83965,106763,Paris 13eme arrondissement,85208,183713.0,16.2,5.0,0.0,24.2,17.5,12.3
240,2842,24502,4141,17575,7433,466,189,162,6792,746,15748,75056AR14,64848,81440,Paris 14eme arrondissement,65692,140799.0,17.0,3.5,0.0,28.5,17.5,11.3
241,3404,32008,7144,43531,8002,597,203,256,12528,1264,26281,75056AR15,108937,136521,Paris 15eme arrondissement,110240,237120.0,16.8,3.3,0.0,31.8,17.1,9.4
242,1268,10583,4062,47233,2324,190,61,144,6281,693,18285,75056AR16,72839,91778,Paris 16eme arrondissement,73493,166552.0,22.1,2.4,0.1,27.1,19.1,10.2
243,2253,19898,4671,32728,5353,372,142,161,7563,720,18146,75056AR17,73861,92854,Paris 17eme arrondissement,74708,170077.0,14.7,4.4,0.0,30.9,14.7,11.5
244,4238,33709,5150,15253,12019,716,318,195,6059,675,21687,75056AR18,78332,101049,Paris 18eme arrondissement,79362,199519.0,12.5,7.5,0.0,25.5,13.7,13.7
245,3465,30673,4990,16692,11690,653,322,166,4949,670,21620,75056AR19,74270,96890,Paris 19eme arrondissement,75270,185953.0,12.8,7.5,0.0,19.5,14.4,16.4
246,4260,36775,5919,15491,14850,811,373,213,5812,833,22690,75056AR20,85337,109195,Paris 20eme arrondissement,86505,194771.0,13.6,7.1,0.0,21.5,15.2,15.1
247,22,138,126,280,62,2,0,3,96,14,148,77001,743,906,Achères-la-Forêt,758,1201.0,14.7,4.5,0.5,19.4,19.9,7.5
248,8,70,148,136,35,7,1,0,37,9,94,77002,451,553,Amillis,459,813.0,15.4,12.7,0.6,5.5,23.1,7.7
249,2,56,49,83,16,1,0,1,26,6,36,77003,240,277,Amponville,241,388.0,12.9,10.3,1.3,14.1,8.2,7.0
250,2,54,41,78,18,1,1,0,17,7,44,77004,219,266,Andrezel,222,284.0,12.0,9.3,6.1,15.4,23.9,6.6
251,36,359,312,557,153,13,3,5,171,31,395,77005,1640,2059,Annet-sur-Marne,1664,3245.0,10.1,10.3,0.0,17.3,12.7,6.0
252,8,122,102,187,43,2,2,3,50,15,123,77006,534,663,Arbonne-la-Forêt,540,1040.0,19.4,3.8,0.5,11.6,26.8,8.8
253,9,63,46,80,18,0,0,0,18,8,30,77007,242,273,Argentières,243,393.0,14.5,3.4,0.0,10.3,20.4,4.9
254,8,96,104,250,47,4,1,2,34,7,207,77008,553,767,Armentières-en-Brie,560,1337.0,9.1,13.4,0.0,6.7,15.0,18.5
255,2,13,26,30,5,1,0,0,11,3,24,77009,91,117,Arville,93,121.0,17.4,16.5,4.4,4.4,19.0,8.1
256,10,95,140,158,57,5,1,2,48,8,101,77010,524,626,Aubepierre-Ozouer-le-Repos,525,881.0,11.4,19.4,1.1,6.9,17.7,5.7
257,2,52,68,102,37,2,2,0,25,7,60,77011,297,365,Aufferville,305,542.0,11.8,19.3,1.2,7.8,16.4,12.2
258,4,56,54,78,9,1,0,1,16,3,48,77012,222,274,Augers-en-Brie,226,305.0,11.1,24.6,1.8,7.0,14.4,13.1
259,2,34,45,97,20,3,2,0,41,4,61,77013,248,310,Aulnoy,249,379.0,15.3,7.5,1.4,6.1,24.3,5.6
260,208,2004,972,1927,715,50,36,24,734,147,1932,77014,6817,8839,Avon,6907,13761.0,20.4,8.0,0.0,13.6,23.5,12.1
261,1,1,7,32,4,1,2,0,3,4,11,77015,55,69,Baby,58,99.0,10.1,10.5,5.3,5.3,21.2,3.9
262,9,223,226,186,115,7,8,1,65,16,172,77016,856,1042,Bagneaux-sur-Loing,870,1690.0,15.3,19.8,0.0,2.3,20.1,17.5
263,47,745,450,863,245,34,5,12,275,53,705,77018,2729,3473,Bailly-Romainvilliers,2768,7368.0,2.8,8.5,0.0,17.1,4.2,6.5
264,6,39,59,57,17,1,2,3,13,5,42,77019,202,248,Balloy,206,328.0,18.0,17.3,2.8,7.4,21.3,6.0
265,2,56,90,131,28,7,0,0,29,15,77,77020,358,439,Bannost-Villegagnon,362,673.0,11.0,18.8,2.3,9.4,11.3,6.7
266,1,25,34,38,13,1,0,0,4,0,15,77021,116,133,Barbey,118,167.0,12.0,16.8,0.0,0.0,13.2,8.1
267,15,132,101,534,56,5,3,0,93,15,242,77022,954,1208,Barbizon,966,1277.0,31.9,7.8,0.4,11.1,31.9,12.2
268,1,28,20,59,13,4,0,0,19,3,32,77023,147,179,Barcy,147,275.0,11.3,15.7,0.0,3.9,11.6,9.0
269,1,30,64,69,17,2,2,1,12,3,46,77024,201,253,Bassevelle,207,342.0,12.9,13.4,7.5,16.4,14.0,11.6
270,9,102,159,140,37,6,8,1,32,10,117,77025,504,633,Bazoches-lès-Bray,516,841.0,20.9,14.3,0.0,7.2,32.3,8.8
271,6,50,42,73,17,6,0,1,12,3,40,77026,210,254,Beauchery-Saint-Martin,214,411.0,10.0,13.6,4.1,6.8,13.6,14.4
272,8,117,141,138,74,6,5,4,45,19,126,77027,557,690,Beaumont-du-Gâtinais,564,1167.0,22.1,12.9,1.8,4.4,29.0,7.4
273,9,55,96,147,37,6,1,3,29,8,91,77028,391,488,Beautheil,397,736.0,10.7,10.4,2.1,12.5,13.6,5.9
274,1,26,32,53,18,0,0,0,7,0,22,77029,137,160,Beauvoir,138,197.0,11.7,8.6,0.0,6.2,21.8,9.3
275,10,85,130,105,40,10,2,0,38,13,96,77030,433,537,Bellot,441,781.0,14.2,17.6,1.2,9.7,21.5,7.1
276,9,93,96,201,55,6,2,0,35,21,100,77031,518,623,Bernay-Vilbert,523,845.0,14.2,10.7,1.4,10.0,18.3,8.3
277,5,67,98,131,30,7,3,1,36,13,127,77032,391,523,Beton-Bazoches,396,874.0,15.3,22.6,3.0,4.8,17.8,9.3
278,1,19,31,42,14,1,0,0,11,3,21,77033,122,147,Bezalles,126,252.0,7.1,18.4,6.1,8.2,11.1,11.5
279,9,104,97,146,59,6,2,0,48,8,66,77034,479,554,Blandy,488,701.0,15.7,6.3,0.7,16.6,17.5,6.8
280,4,71,107,78,37,10,2,4,31,9,78,77035,353,440,Blennes,362,566.0,12.9,5.7,0.0,14.0,21.0,10.4
281,0,8,22,23,6,0,1,0,13,4,16,77036,77,94,Boisdon,78,121.0,10.7,9.4,0.0,9.4,22.3,7.9
282,152,880,394,1307,337,26,10,14,483,70,937,77037,3673,4656,Bois-le-Roi,3719,5617.0,17.4,4.1,0.0,23.5,20.8,6.7
283,7,60,43,121,11,6,1,1,34,3,56,77038,287,344,Boissettes,288,442.0,25.8,7.5,0.0,13.3,25.8,8.3
284,13,118,87,233,53,2,1,0,59,6,147,77039,572,724,Boissise-la-Bertrand,577,1159.0,26.1,5.9,0.0,16.5,28.0,7.7
285,57,525,388,790,151,21,15,5,238,64,471,77040,2254,2757,Boissise-le-Roi,2286,3776.0,19.7,8.9,0.0,13.1,25.8,8.3
286,11,39,40,79,21,0,0,2,16,13,35,77041,221,260,Boissy-aux-Cailles,225,307.0,13.7,1.6,7.8,18.3,16.6,5.0
287,21,398,506,522,178,16,8,7,167,47,423,77042,1870,2316,Boissy-le-Châtel,1893,3105.0,17.3,11.2,0.6,6.8,20.5,10.6
288,2,31,65,58,18,1,1,0,22,6,49,77043,204,254,Boitron,205,390.0,12.6,9.7,1.6,9.7,17.2,11.7
289,11,127,133,143,72,4,5,2,32,16,104,77044,545,656,Bombon,552,860.0,17.1,8.9,0.0,7.9,29.0,6.2
290,4,68,125,125,44,8,2,1,45,12,112,77045,434,553,Bougligny,441,730.0,16.4,16.3,0.7,8.2,15.3,9.0
291,11,46,56,71,18,6,3,0,24,5,58,77046,240,300,Boulancourt,242,377.0,16.7,12.4,1.2,5.0,23.3,10.1
292,9,162,210,234,64,10,9,2,78,10,209,77047,788,1006,Bouleurs,797,1463.0,11.5,13.9,2.1,12.6,10.0,8.7
293,57,343,243,668,115,17,12,3,166,34,385,77048,1658,2070,Bourron-Marlotte,1685,2690.0,22.5,7.7,0.5,13.6,23.3,10.1
294,8,108,108,247,35,6,0,0,53,8,100,77049,573,681,Boutigny,581,877.0,12.2,11.5,0.5,9.9,18.7,6.1
