CodCirLg,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,codeDepartement,code_dep_min,code_dep,votes,entete,id_circo,elu_T1
04,104666,53624,51042,2564,1131,47347,014,14,14,"[{""NomPsn"":""BLANCHET"",""PrenomPsn"":""Christophe"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""1"",""NbVoix"":28920,""score"":61.1},{""NomPsn"":""MOURARET"",""PrenomPsn"":""Pierre"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""4"",""NbVoix"":18427,""score"":38.9}]",ENS,14004,0
05,92542,45218,47324,2685,1116,43523,014,14,14,"[{""NomPsn"":""BOUYX"",""PrenomPsn"":""Bertrand"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""2"",""NbVoix"":24235,""score"":55.7},{""NomPsn"":""HAREL"",""PrenomPsn"":""Val\u00e9rie"",""CivilitePsn"":""Mme"",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""1"",""NbVoix"":19288,""score"":44.3}]",ENS,14005,0
01,63106,33541,29565,2263,985,26317,015,15,15,"[{""NomPsn"":""DESCOEUR"",""PrenomPsn"":""Vincent"",""CivilitePsn"":""M."",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""1"",""NbVoix"":18165,""score"":69.0},{""NomPsn"":""TEYSSEDOU"",""PrenomPsn"":""Michel"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""3"",""NbVoix"":8152,""score"":31.0}]",LR,15001,0
02,52857,28160,24697,2040,798,21859,015,15,15,"[{""NomPsn"":""BONY"",""PrenomPsn"":""Jean-Yves"",""CivilitePsn"":""M."",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""1"",""NbVoix"":15443,""score"":70.6},{""NomPsn"":""GUIBERT"",""PrenomPsn"":""Martine"",""CivilitePsn"":""Mme"",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""2"",""NbVoix"":6416,""score"":29.4}]",LR,15002,0
01,83763,42981,40782,2012,1086,37684,016,16,16,"[{""NomPsn"":""MESNIER"",""PrenomPsn"":""Thomas"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""4"",""NbVoix"":18854,""score"":50.0},{""NomPsn"":""PILATO"",""PrenomPsn"":""Ren\u00e9"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""6"",""NbVoix"":18830,""score"":50.0}]",ENS,16001,0
02,83709,43745,39964,2623,1149,36192,016,16,16,"[{""NomPsn"":""MARSAUD"",""PrenomPsn"":""Sandra"",""CivilitePsn"":""Mme"",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""2"",""NbVoix"":19964,""score"":55.2},{""NomPsn"":""RAPPASSE"",""PrenomPsn"":""Marceau"",""CivilitePsn"":""M."",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""9"",""NbVoix"":16228,""score"":44.8}]",ENS,16002,0
03,90899,45587,45312,3669,1876,39767,016,16,16,"[{""NomPsn"":""COLOMBIER"",""PrenomPsn"":""Caroline"",""CivilitePsn"":""Mme"",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""10"",""NbVoix"":19980,""score"":50.2},{""NomPsn"":""MOCOEUR"",""PrenomPsn"":""Sylvie"",""CivilitePsn"":""Mme"",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""2"",""NbVoix"":19787,""score"":49.8}]",RN,16003,0
01,110471,55925,54546,1602,647,52297,017,17,17,"[{""NomPsn"":""FALORNI"",""PrenomPsn"":""Olivier"",""CivilitePsn"":""M."",""CodNua"":""DVG"",""LibNua"":""Divers gauche"",""NumPanneauCand"":""2"",""NbVoix"":34576,""score"":66.1},{""NomPsn"":""SOUBESTE"",""PrenomPsn"":""Jean-Marc"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""7"",""NbVoix"":17721,""score"":33.9}]",DVG,17001,0
02,112184,57655,54529,3247,1312,49970,017,17,17,"[{""NomPsn"":""BABAULT"",""PrenomPsn"":""Anne-Laure"",""CivilitePsn"":""Mme"",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""11"",""NbVoix"":25863,""score"":51.8},{""NomPsn"":""RAYMOND"",""PrenomPsn"":""Nordine"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""9"",""NbVoix"":24107,""score"":48.2}]",ENS,17002,0
03,84195,43918,40277,3240,1290,35747,017,17,17,"[{""NomPsn"":""ARDOUIN"",""PrenomPsn"":""Jean-Philippe"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""2"",""NbVoix"":18295,""score"":51.2},{""NomPsn"":""COLLARD"",""PrenomPsn"":""Nathalie"",""CivilitePsn"":""Mme"",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""4"",""NbVoix"":17452,""score"":48.8}]",ENS,17003,0
04,94407,48218,46189,2921,1136,42132,017,17,17,"[{""NomPsn"":""GERARD"",""PrenomPsn"":""Rapha\u00ebl"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""3"",""NbVoix"":21447,""score"":50.9},{""NomPsn"":""MARKOWSKY"",""PrenomPsn"":""Pascal"",""CivilitePsn"":""M."",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""5"",""NbVoix"":20685,""score"":49.1}]",ENS,17004,0
05,119750,60244,59506,3646,1291,54569,017,17,17,"[{""NomPsn"":""PLASSARD"",""PrenomPsn"":""Christophe"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""9"",""NbVoix"":28233,""score"":51.7},{""NomPsn"":""WERBROUCK"",""PrenomPsn"":""S\u00e9verine"",""CivilitePsn"":""Mme"",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""10"",""NbVoix"":26336,""score"":48.3}]",ENS,17005,0
01,71165,37784,33381,2606,819,29956,018,18,18,"[{""NomPsn"":""CORMIER BOULIGEON"",""PrenomPsn"":""Fran\u00e7ois"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""6"",""NbVoix"":17116,""score"":57.1},{""NomPsn"":""CHARPENTIER"",""PrenomPsn"":""Alex"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""2"",""NbVoix"":12840,""score"":42.9}]",ENS,18001,0
