ville,inscrits,score,revenu_median,circle,color
Bonnesvalyn,187.0,16.9,23200.0,6.8,grey
Bony,113.0,10.6,19660.0,5.3,grey
Bosmont-sur-Serre,132.0,18.2,20650.0,5.7,grey
Bouconville-Vauclair,134.0,35.5,21870.0,5.8,grey
Boué,919.0,20.6,18960.0,15.2,grey
Bouffignereux,88.0,42.5,26350.0,4.7,grey
Bouresches,157.0,19.1,20720.0,6.3,grey
Bourg-et-Comin,530.0,14.8,18650.0,11.5,grey
Bourguignon-sous-Montbavin,115.0,24.7,24120.0,5.4,grey
La Bouteille,353.0,21.9,19990.0,9.4,grey
Braine,1487.0,23.0,18960.0,19.3,grey
Brancourt-en-Laonnois,530.0,16.1,21700.0,11.5,grey
Brancourt-le-Grand,534.0,22.3,21060.0,11.6,grey
Brasles,1074.0,24.0,21410.0,16.4,grey
Braye-en-Laonnois,160.0,23.2,21510.0,6.3,grey
Braye-en-Thiérache,133.0,28.2,19580.0,5.8,grey
Braye,98.0,20.5,23400.0,4.9,grey
Brécy,234.0,16.6,21190.0,7.6,grey
Brenelle,145.0,21.3,22070.0,6.0,grey
Breny,165.0,15.9,19900.0,6.4,grey
Brissay-Choigny,227.0,19.2,21410.0,7.5,grey
Brissy-Hamégicourt,516.0,25.6,20620.0,11.4,grey
Brumetz,169.0,17.9,23700.0,6.5,grey
Brunehamel,370.0,19.0,17740.0,9.6,grey
