id_circo,nom,groupe_sigle,parti_ratt_financier
33006,Éric Poulliat,LREM,La République en Marche
59015,Jennifer De Temmerman,LT,Régions et peuples solidaires
41002,Guillaume Peltier,NI,Les Républicains
93007,Alexis Corbière,LFI,La France Insoumise
59010,Vincent Ledoux,AE,Mouvement Démocrate
92001,Elsa Faucillon,GDR,Parti communiste français
23001,Jean-Baptiste Moreau,LREM,La République en Marche
ZN002,Philippe Gomès,UDI,Calédonie Ensemble
17005,Didier Quentin,LR,Les Républicains
83007,Émilie Guerel,LREM,La République en Marche
93011,Clémentine Autain,LFI,La France Insoumise
59016,Alain Bruneel,GDR,Parti communiste français
06005,Marine Brenier,LR,Les Républicains
73002,Vincent Rolland,LR,Les Républicains
10003,Gérard Menuel,LR,Les Républicains
16002,Sandra Marsaud,LREM,La République en Marche
78007,Michèle de Vaucouleurs,MODEM,Mouvement Démocrate
16001,Thomas Mesnier,LREM,La République en Marche
24003,Jean-Pierre Cubertafon,MODEM,Mouvement Démocrate
31006,Monique Iborra,LREM,La République en Marche
13015,Bernard Reynès,LR,Les Républicains
48001,Pierre Morel-À-L'Huissier,UDI,Les Républicains
60007,Maxime Minot,LR,Les Républicains
94002,Jean François Mbaye,LREM,La République en Marche
18002,Nadia Essayan,MODEM,Mouvement Démocrate
38003,Émilie Chalas,LREM,La République en Marche
71004,Cécile Untermaier,SOC,Parti socialiste
94005,Gilles Carrez,LR,Les Républicains
75017,Danièle Obono,LFI,La France Insoumise
80004,Jean-Claude Leclabart,LREM,La République en Marche
11003,Mireille Robert,LREM,La République en Marche
89002,André Villiers,UDI,"Union des démocrates, radicaux et libéraux"
05001,Pascale Boyer,LREM,La République en Marche
ZD005,Jean-Hugues Ratenon,LFI,La France Insoumise
85003,Stéphane Buchou,LREM,La République en Marche
56005,Gwendal Rouillard,LREM,La République en Marche
42003,Valéria Faure-Muntian,LREM,La République en Marche
30001,Françoise Dumas,LREM,La République en Marche
ZZ004,Pieyre-Alexandre Anglade,LREM,La République en Marche
64005,Florence Lasserre,MODEM,Mouvement Démocrate
ZX001,Claire Guion-Firmin,LR,Les Républicains
61003,Jérôme Nury,LR,Les Républicains
74006,Xavier Roseren,LREM,La République en Marche
34004,Jean-François Eliaou,LREM,La République en Marche
42004,Dino Cinieri,LR,Les Républicains
13005,Cathy Racon-Bouzon,LREM,La République en Marche
60003,Pascal Bois,LREM,La République en Marche
78006,Natalia Pouzyreff,LREM,La République en Marche
61002,Véronique Louwagie,LR,Les Républicains
ZA003,Max Mathiasin,MODEM,Mouvement Démocrate
67005,Antoine Herth,AE,Mouvement Démocrate
21002,Rémi Delatte,LR,Les Républicains
92013,Frédérique Dumas,LT,Europe Écologie Les Verts
13014,Anne-Laurence Petel,LREM,La République en Marche
75008,Laetitia Avia,LREM,La République en Marche
32002,Gisèle Biémouret,SOC,Parti socialiste
ZB001,Josette Manin,SOC,Parti progressiste martiniquais
ZP002,Nicole Sanquer,UDI,"Union des démocrates, radicaux et libéraux"
30003,Anthony Cellier,LREM,La République en Marche
ZM002,Mansour Kamardine,LR,Les Républicains
64006,Vincent Bru,MODEM,Mouvement Démocrate
68003,Jean-Luc Reitzer,LR,Les Républicains
92009,Thierry Solère,LREM,La République en Marche
ZZ011,Anne Genetet,LREM,La République en Marche
85005,Pierre Henriet,LREM,La République en Marche
59001,Adrien Quatennens,LFI,La France Insoumise
25005,Annie Genevard,LR,Les Républicains
94011,Albane Gaillot,NI,Europe Écologie Les Verts
17001,Olivier Falorni,LT,Parti radical de gauche
