id_circo,Exprimes,nom,voix
68002,68947,ARTHAUD,459
68003,63490,ARTHAUD,356
68004,76835,ARTHAUD,497
68005,53307,ARTHAUD,276
68006,66705,ARTHAUD,334
69001,56303,ARTHAUD,205
69002,58937,ARTHAUD,198
69003,57237,ARTHAUD,232
69004,63751,ARTHAUD,193
69005,70666,ARTHAUD,218
69006,62836,ARTHAUD,265
69007,48021,ARTHAUD,233
69008,82629,ARTHAUD,367
69009,73745,ARTHAUD,334
69010,79116,ARTHAUD,315
69011,74696,ARTHAUD,359
69012,64183,ARTHAUD,278
69013,66145,ARTHAUD,282
69014,50748,ARTHAUD,295
70001,67427,ARTHAUD,567
70002,67312,ARTHAUD,604
71001,55655,ARTHAUD,299
71002,57910,ARTHAUD,385
71003,60355,ARTHAUD,394
71004,61783,ARTHAUD,465
71005,63597,ARTHAUD,436
72001,53851,ARTHAUD,355
72002,58330,ARTHAUD,453
72003,62858,ARTHAUD,492
72004,58781,ARTHAUD,420
72005,63242,ARTHAUD,430
