code_commune,code_dep_min,MACRON,LE PEN
50015,50,197,169
08015,08,27,26
21015,21,28,18
65015,65,28,36
81015,81,21,14
52015,52,24,45
01015,01,235,164
74015,74,257,331
17015,17,201,253
89015,89,151,121
39015,39,52,16
51015,51,30,36
31015,31,13,8
09015,09,189,232
59015,59,582,1199
30015,30,60,37
11015,11,50,58
07015,07,138,153
38015,38,433,499
33015,33,659,512
40015,40,32,23
58015,58,28,39
79015,79,45,39
34015,34,42,39
47015,47,548,495
88015,88,48,91
26015,26,26,4
10015,10,81,109
18015,18,1506,1424
63015,63,80,54
24015,24,69,76
32015,32,25,23
55015,55,85,203
28015,28,1317,1276
61015,61,82,84
12015,12,96,55
45015,45,189,204
43015,43,25,13
71015,71,257,370
15015,15,77,48
86015,86,320,308
49015,49,6198,1913
19015,19,189,198
37015,37,1092,774
23015,23,218,192
77015,77,21,29
46015,46,420,385
03015,03,77,109
35015,35,813,402
68015,68,839,713
66015,66,357,446
83015,83,106,91
85015,85,545,297
36015,36,14,11
84015,84,89,109
82015,82,26,73
42015,42,403,363
06015,06,219,572
56015,56,679,503
87015,87,238,185
44015,44,2910,1868
90015,90,80,82
13015,13,5139,3759
29015,29,1238,630
94015,94,5886,1934
22015,22,546,390
93015,93,1208,928
53015,53,565,356
73015,73,607,356
72015,72,20,50
48015,48,71,53
62016,62,66,54
80016,80,2058,2573
64016,64,105,87
57016,57,117,129
25016,25,51,63
70016,70,44,51
02016,02,42,82
54016,54,66,94
91016,91,830,1019
76016,76,55,42
14016,14,147,131
16016,16,218,229
60016,60,82,97
2B016,2B,99,138
65016,65,63,36
08016,08,28,81
50016,50,67,45
01016,01,112,138
52016,52,27,21
21016,21,301,239
74016,74,742,324
17016,17,188,205
81016,81,85,51
89016,89,21,32
39016,39,300,245
59016,59,608,774
09016,09,50,74
11016,11,32,36
30016,30,58,85
51016,51,69,75
58016,58,54,46
33016,33,129,83
79016,79,203,241
88016,88,57,96
40016,40,93,78
47016,47,349,345
18016,18,111,90
26016,26,120,113
63016,63,274,244
24016,24,221,247
34016,34,189,178
32016,32,214,196
04016,04,26,13
45016,45,246,306
72016,72,405,405
12016,12,268,204
43016,43,182,306
86016,86,812,439
67016,67,225,204
15016,15,140,183
37016,37,120,92
69016,69,49,42
71016,71,283,270
77016,77,283,358
53016,53,320,238
46016,46,149,102
68016,68,224,350
48016,48,165,188
23016,23,37,41
66016,66,1295,1147
19016,19,69,94
03016,03,40,45
35016,35,686,477
85016,85,781,520
82016,82,47,31
06016,06,143,178
41016,41,231,341
90016,90,41,38
29016,29,307,215
84016,84,965,2133
36016,36,294,253
94016,94,8916,2087
22016,22,323,70
44016,44,301,254
13016,13,1565,1952
05016,05,71,80
42016,42,102,152
83016,83,2686,3056
27016,27,1667,1995
28016,28,43,53
87016,87,71,83
62017,62,22,68
80017,80,122,124
64017,64,87,45
57017,57,596,692
25017,25,41,14
70017,70,49,98
27017,27,428,297
91017,91,476,355
76017,76,157,216
54017,54,31,20
02017,02,50,93
60017,60,208,352
2A017,2A,272,561
08017,08,24,45
73017,73,315,308
65017,65,99,71
52017,52,157,224
21017,21,170,112
17017,17,152,226
89017,89,62,75
01017,01,72,139
81017,81,45,37
39017,39,401,365
31017,31,26,35
59017,59,5289,5039
09017,09,61,10
30017,30,79,54
11017,11,26,32
51017,51,66,149
38017,38,422,455
07017,07,220,156
33017,33,82,119
26017,26,21,2
40017,40,104,120
63017,63,47,47
18017,18,68,84
10017,10,34,36
88017,88,40,50
34017,34,133,158
58017,58,80,63
47017,47,94,102
32017,32,52,28
55017,55,24,54
72017,72,77,64
45017,45,83,109
04017,04,22,39
86017,86,320,298
12017,12,71,46
43017,43,84,84
15017,15,35,53
67017,67,65,117
69017,69,257,181
68017,68,204,251
71017,71,37,20
48017,48,348,294
46017,46,46,26
49017,49,160,129
03017,03,52,74
19017,19,21,37
23017,23,40,67
85017,85,923,424
84017,84,937,1002
83017,83,528,818
82017,82,350,464
56017,56,834,777
41017,41,179,188
87017,87,128,126
13017,13,367,589
90017,90,306,445
29017,29,362,172
06017,06,50,126
94017,94,17620,6927
35017,35,221,135
36017,36,81,111
05017,05,716,722
66017,66,1350,2580
42017,42,171,109
61017,61,14,27
53017,53,250,228
62018,62,83,93
80018,80,82,83
57018,57,34,61
64018,64,204,89
70018,70,120,154
02018,02,485,778
54018,54,75,86
25018,25,157,214
27018,27,223,329
2A018,2A,16,69
73018,73,231,199
65018,65,22,32
21018,21,18,18
08018,08,10,28
17018,17,217,276
74018,74,524,497
95018,95,21874,7936
89018,89,160,247
31018,31,78,62
59018,59,411,415
39018,39,124,126
09018,09,17,23
16018,16,221,210
81018,81,714,663
11018,11,313,380
30018,30,154,144
07018,07,19,30
51018,51,159,251
38018,38,98,112
79018,79,46,55
40018,40,108,122
26018,26,4,20
24018,24,131,99
47018,47,45,43
32018,32,58,53
58018,58,14,9
28018,28,391,401
34018,34,191,300
55018,55,16,13
10018,10,181,325
45018,45,162,287
61018,61,18,28
72018,72,25,40
18018,18,447,618
77018,77,1899,1054
43018,43,293,411
12018,12,65,64
67018,67,244,191
37018,37,3302,1454
53018,53,358,297
68018,68,237,256
04018,04,298,243
71018,71,128,159
48018,48,224,149
15018,15,48,31
86018,86,79,111
19018,19,62,46
49018,49,3292,2655
03018,03,161,223
23018,23,74,67
69018,69,449,464
